Proposition ID,Proposition Full Name,Proposition,Proposition Code,URL
bea7b54d-a57c-4b7a-8e4b-4f67fbe929fc,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Pay As You Go | Mobilli/Pay As You Go || Apple || Mobilli/,Pay As You Go || Apple || Mobilli,,https://onedemo-telco.azurewebsites.net/payasyougo-apple.html
10afeeb7-aa71-4082-87f1-1a23a155a0ab,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/,Blog Single || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/news-single.html
3fc56b33-5e3e-41f2-befd-c755985886ef,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/,Home Two || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/index-2.html
943f64cb-ec05-447e-86d7-b885de8a3729,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/,About || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/about.html
48515e62-b14c-49c9-a96b-91fb2b210a92,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/404 Error Page || Woteen || Responsive HTML 5 Template/,404 Error Page || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/error.html
bdfd47f1-b26b-46ab-a372-26dce52e5adc,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/Services || Woteen || Responsive HTML 5 Template/,Services || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/services.html
7e55c4ab-8d89-49d2-9f2d-833956cd66eb,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/Services || Woteen || Responsive HTML 5 Template/Services Single || Woteen || Responsive HTML 5 Template/,Services Single || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/services-single.html
70b7228a-39ae-403c-b046-012849d8d710,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/Services || Woteen || Responsive HTML 5 Template/Services Single || Woteen || Responsive HTML 5 Template/Packages || Woteen || Responsive HTML 5 Template/,Packages || Woteen || Responsive HTML 5 Template,,https://onedemo-telco.azurewebsites.net/packages.html
ac983a27-2233-4f44-9307-e6b8220c9f3d,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/Services || Woteen || Responsive HTML 5 Template/Services Single || Woteen || Responsive HTML 5 Template/Packages || Woteen || Responsive HTML 5 Template/Home ONE || Mobilli/,Home ONE || Mobilli,,https://onedemo-telco.azurewebsites.net/news.html
5e5ae1ce-918c-483b-876a-97050decb475,/Home ONE || Mobilli/Iphone 11 - Google Search/Apple iPhone 11 Pro || Mobilli/Home ONE || Mobilli/Blog Single || Woteen || Responsive HTML 5 Template/Home Two || Woteen || Responsive HTML 5 Template/About || Woteen || Responsive HTML 5 Template/Services || Woteen || Responsive HTML 5 Template/Services Single || Woteen || Responsive HTML 5 Template/Packages || Woteen || Responsive HTML 5 Template/Home ONE || Mobilli/,Home ONE || Mobilli,,https://onedemo-telco.azurewebsites.net/contact.html
